"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Lone Mountain","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",137,1457,0.0041,0.0016,0.0638,21691
2020-01-31,"Parkway","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",138,1624,0.0011,0.0165,0.061,12521
2020-01-31,"Kensington","NY","New York-Newark-Jersey City","Kings County","New York",139,2122,-0.0104,-0.0236,0.0057,11333
2020-01-31,"Albany Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",140,1588,-0.0103,-0.0238,0.0047,9698
2020-01-31,"Wilmington","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",141,2307,0,-0.006,-0.0247,7464
2020-01-31,"Lake Highlands","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",142,1334,0.0005,0.0046,0.0229,12489
2020-01-31,"Canoga Park","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",143,2514,-0.0079,0.0157,-0.0044,7781
2020-01-31,"Encanto","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",144,1451,0.0027,0.0218,0.1016,19352
2020-01-31,"Uptown","IL","Chicago-Naperville-Elgin","Cook County","Chicago",145,1701,0,-0.038,0.0002,18343
2020-01-31,"Westwood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",146,4245,-0.0141,-0.0243,0.012,12489
2020-01-31,"Raleigh","TN","Memphis","Shelby County","Memphis",147,874,0.0031,0.0196,0.0529,16065
2020-01-31,"Kempsville","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",148,1477,0.0064,0.0201,0.0379,20735
2020-01-31,"Lake View","IL","Chicago-Naperville-Elgin","Cook County","Chicago",149,1871,-0.027,-0.0671,0.0004,26733
2020-01-31,"Fresno High Roeding","CA","Fresno","Fresno County","Fresno",150,1177,0.0184,0.0034,0.0674,15343
2020-01-31,"Central City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",151,2349,-0.0015,-0.0091,-0.0366,5108
2020-01-31,"Bedford Park","NY","New York-Newark-Jersey City","Bronx County","New York",152,1815,0.0079,0.0007,0.0615,5865
2020-01-31,"West","CA","Fresno","Fresno County","Fresno",153,1295,0.0116,0.0105,0.0607,14016
2020-01-31,"Queens Village","NY","New York-Newark-Jersey City","Queens County","New York",154,2121,-0.0025,-0.0025,-0.0231,16858
2020-01-31,"Fairgrounds","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",155,2893,-0.0056,-0.0155,-0.0313,10382
2020-01-31,"Mott Haven","NY","New York-Newark-Jersey City","Bronx County","New York",156,1945,-0.0063,0.0036,0.0541,1290
2020-01-31,"Rogers Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",157,1509,-0.0109,-0.0201,-0.0034,14412
2020-01-31,"Casas Adobes","AZ","Tucson","Pima County","Tucson",158,1353,0.0034,0.0229,0.0618,19930
2020-01-31,"Maspeth","NY","New York-Newark-Jersey City","Queens County","New York",159,2144,0.0002,-0.0175,-0.0126,14922
2020-01-31,"Bay Ridge","NY","New York-Newark-Jersey City","Kings County","New York",160,2142,0.0027,-0.0064,0.0196,16097
2020-01-31,"University Heights","NY","New York-Newark-Jersey City","Bronx County","New York",161,1803,-0.0024,0.0271,0.054,3697
2020-01-31,"Northwest","CA","San Diego-Carlsbad","San Diego County","Chula Vista",162,2389,0.0229,0.0055,0.0824,10257
2020-01-31,"Northeast Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",163,2509,-0.0146,-0.0032,0.0115,10085
2020-01-31,"Michael Way","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",164,1236,-0.0013,0.0028,0.0619,15006
2020-01-31,"Greater Uptown","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",165,1859,0.0018,0.0249,-0.0007,27678
2020-01-31,"Golfcrest - Bellfort - Reveille","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",166,1212,-0.0058,-0.0319,-0.0444,10451
2020-01-31,"Highland Park","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",167,2334,0.0024,0.0148,0.0084,9378
2020-01-31,"Outer Sunset","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",168,3933,-0.0069,-0.0045,0.0028,12666
2020-01-31,"Oxford Circle","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",169,1199,0.0063,0.0194,0.0299,14482
2020-01-31,"Granada Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",170,2728,0,0.0202,0.0323,16223
2020-01-31,"Cambrian Park","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",171,3278,-0.0068,-0.0095,-0.0099,16408
2020-01-31,"Oak Lawn","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",172,1734,0.0066,0.0052,0.043,35669
2020-01-31,"University City","CA","San Diego-Carlsbad","San Diego County","San Diego",173,2695,-0.0054,-0.023,0.0269,14025
2020-01-31,"Woodside","NY","New York-Newark-Jersey City","Queens County","New York",174,2180,0.0196,0.0163,0.0127,12495
2020-01-31,"Alameda - West Flagler","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Miami",175,1742,-0.0072,-0.0147,-0.0311,12654
2020-01-31,"Desert View","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",176,2072,0.0088,0.0304,0.1353,22831
2020-01-31,"Bayside","NY","New York-Newark-Jersey City","Queens County","New York",177,2133,-0.018,-0.0212,-0.0287,20614
2020-01-31,"Southwest","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",178,1411,0.0027,0.0151,-0.0067,19431
2020-01-31,"Rancho Penasquitos","CA","San Diego-Carlsbad","San Diego County","San Diego",179,2457,-0.0023,0.0127,0.015,15605
2020-01-31,"Winnetka","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",180,2771,-0.001,0.0018,0.0211,12438
2020-01-31,"Woodlake - Briarmeadow","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",181,1376,-0.0031,0.0149,0.0146,11711
2020-01-31,"Summerlin North","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",182,1604,-0.0052,-0.0094,0.0663,27565
2020-01-31,"Downtown","TN","Memphis","Shelby County","Memphis",183,787,0.0072,0.0398,0.0524,17066
2020-01-31,"Lake Balboa","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",184,2587,-0.0094,0.0074,-0.013,10487
2020-01-31,"Memorial","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",185,1722,-0.0057,0.0119,0.0247,19049
2020-01-31,"Encino","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",186,2988,-0.0094,0.0048,0.0052,17225
2020-01-31,"Greenville","NJ","New York-Newark-Jersey City","Hudson County","Jersey City",187,1764,0.0058,0.0187,0.0185,5027
2020-01-31,"Fordham","NY","New York-Newark-Jersey City","Bronx County","New York",188,1798,0.0059,0.0402,0.0733,1650
2020-01-31,"Gresham","IL","Chicago-Naperville-Elgin","Cook County","Chicago",189,1211,-0.0155,0.0051,-0.0091,11133
2020-01-31,"Brighton Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",190,1368,-0.0218,-0.045,-0.0345,4591
2020-01-31,"Mid City West","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",191,3389,0.0024,-0.0172,0.0135,14256
2020-01-31,"North Highlands","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County","Sacramento",192,1557,0.0072,0.0006,0.0345,11492
